learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
59000.0,6.257304958,6.70934535912801E-7,59000.0,87.3,74.63551028560016,84.45532435740513,74.02862985685071,59000.0,414472.0
60000.0,6.357167072,6.816421714782052E-7,60000.0,86.2,72.40662241062145,82.98397040690507,72.28915662650603,60000.0,414472.0
61000.0,6.461933848,6.928757055166529E-7,61000.0,85.0,69.99579941191766,81.48148148148147,69.0082644628099,61000.0,414472.0
62000.0,6.563176383,7.037313556233358E-7,62000.0,86.3,72.51225913114662,83.33333333333334,71.51767151767152,62000.0,414472.0
63000.0,6.667590776,7.149271056755218E-7,63000.0,85.9,71.80654088251526,82.5062034739454,71.68674698795179,63000.0,414472.0
64000.0,6.769076226,7.258088021494323E-7,64000.0,85.5,71.02433955477399,82.00992555831266,70.58823529411764,64000.0,414472.0
65000.0,6.869469198,7.365733585406964E-7,65000.0,85.2,70.41845888165784,81.77339901477832,70.04048582995951,65000.0,414472.0
66000.0,6.976495824,7.48049203193883E-7,66000.0,87.8,75.60663499528128,85.23002421307505,75.7455268389662,66000.0,414472.0
67000.0,7.083446537,7.595169081361612E-7,67000.0,86.5,73.00475116379516,83.9667458432304,72.94589178356713,67000.0,414472.0
68000.0,7.185723505,7.704834744966381E-7,68000.0,88.1,76.18971395642919,85.6280193236715,76.34194831013916,68000.0,414472.0
69000.0,7.289093023,7.815671886599043E-7,69000.0,86.6,73.16393232504485,83.73786407766988,72.8744939271255,69000.0,414472.0
70000.0,7.393031657,7.927119258325815E-7,70000.0,86.1,72.18664959180407,82.44949494949495,71.91919191919192,70000.0,414472.0
71000.0,7.496158113,8.037695778666622E-7,71000.0,87.8,75.63537743196879,85.54502369668246,74.58333333333333,71000.0,414472.0
72000.0,7.600675266,8.149763462779297E-7,72000.0,87.6,75.20436403193038,85.02415458937197,75.1004016064257,72000.0,414472.0
73000.0,7.701110101,8.257453913959963E-7,73000.0,87.4,74.8025197480252,85.24590163934425,74.69879518072288,73000.0,414472.0
74000.0,7.803466756,8.367205021315232E-7,74000.0,85.7,71.40366033147757,82.34567901234567,71.45708582834331,74000.0,414472.0
75000.0,7.91056405,8.482039241046747E-7,75000.0,86.6,73.13811020591442,83.69829683698296,72.14137214137214,75000.0,414472.0
76000.0,8.01235307,8.591181706298348E-7,76000.0,88.2,76.38535892253196,85.7487922705314,76.16161616161617,76000.0,414472.0
77000.0,8.109836827,8.695707887618966E-7,77000.0,86.2,72.44441959561188,82.77153558052436,71.83673469387755,77000.0,414472.0
