learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.181570416,3.086612539122502E-8,1000.0,56.3,12.599999999999989,56.3,-Infinity,1000.0,657112.0
2000.0,0.408645216,6.946778420984744E-8,2000.0,54.2,8.400000000000007,54.2,8.400000000000007,2000.0,657112.0
3000.0,0.635820869,1.0808658756893333E-7,3000.0,56.8,13.59999999999999,56.8,13.59999999999999,3000.0,657112.0
4000.0,0.867761686,1.4751544662307117E-7,4000.0,55.00000000000001,10.000000000000009,55.00000000000001,10.000000000000009,4000.0,657112.0
5000.0,1.107210154,1.882205713941943E-7,5000.0,56.10000000000001,12.20000000000001,56.10000000000001,12.20000000000001,5000.0,657112.0
6000.0,1.341358656,2.280247266201178E-7,6000.0,55.900000000000006,11.800000000000011,55.900000000000006,11.800000000000011,6000.0,657112.0
7000.0,1.569746958,2.668496746635312E-7,7000.0,57.4,14.79999999999999,57.4,14.79999999999999,7000.0,657112.0
8000.0,1.798684342,3.0576796409060965E-7,8000.0,56.89999999999999,13.79999999999999,56.89999999999999,13.79999999999999,8000.0,657112.0
9000.0,2.035500939,3.460256830448098E-7,9000.0,53.2,6.400000000000006,53.2,6.400000000000006,9000.0,657112.0
10000.0,2.271118534,3.8607957724114665E-7,10000.0,55.400000000000006,10.80000000000001,55.400000000000006,10.80000000000001,10000.0,657112.0
11000.0,2.515698472,4.276570280219283E-7,11000.0,55.60000000000001,11.20000000000001,55.60000000000001,11.20000000000001,11000.0,657112.0
12000.0,2.753697612,4.6811577378061906E-7,12000.0,53.7,7.400000000000007,53.7,7.400000000000007,12000.0,657112.0
13000.0,2.996836324,5.094482228512482E-7,13000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,13000.0,657112.0
14000.0,3.231010447,5.492567335278892E-7,14000.0,54.900000000000006,9.800000000000008,54.900000000000006,9.800000000000008,14000.0,657112.0
15000.0,3.465359037,5.890949027822724E-7,15000.0,55.00000000000001,10.000000000000009,55.00000000000001,10.000000000000009,15000.0,657112.0
16000.0,3.69658849,6.28402833268274E-7,16000.0,55.800000000000004,11.60000000000001,55.800000000000004,11.60000000000001,16000.0,657112.0
17000.0,3.925775975,6.673636387009691E-7,17000.0,53.900000000000006,7.800000000000007,53.900000000000006,7.800000000000007,17000.0,657112.0
18000.0,4.166137284,7.082239421922216E-7,18000.0,55.300000000000004,10.600000000000009,55.300000000000004,10.600000000000009,18000.0,657112.0
19000.0,4.406124366,7.490206288357451E-7,19000.0,55.2,10.40000000000001,55.2,10.40000000000001,19000.0,657112.0
20000.0,4.640693887,7.888963553315504E-7,20000.0,53.800000000000004,7.600000000000007,53.800000000000004,7.600000000000007,20000.0,657112.0
21000.0,4.872847314,8.283613570958499E-7,21000.0,55.400000000000006,10.80000000000001,55.400000000000006,10.80000000000001,21000.0,657112.0
22000.0,5.11022123,8.687138176853664E-7,22000.0,53.800000000000004,7.600000000000007,53.800000000000004,7.600000000000007,22000.0,657112.0
23000.0,5.334817804,9.068941896217481E-7,23000.0,55.900000000000006,11.800000000000011,55.900000000000006,11.800000000000011,23000.0,657112.0
24000.0,5.565351604,9.460838623364682E-7,24000.0,56.89999999999999,13.79999999999999,56.89999999999999,13.79999999999999,24000.0,657112.0
25000.0,5.825127838,9.902446126885752E-7,25000.0,56.2,12.400000000000011,56.2,12.400000000000011,25000.0,657112.0
26000.0,6.074814781,1.032690230542916E-6,26000.0,55.7,11.40000000000001,55.7,11.40000000000001,26000.0,657112.0
27000.0,6.316774014,1.0738221736747895E-6,27000.0,55.7,11.40000000000001,55.7,11.40000000000001,27000.0,657112.0
28000.0,6.543045555,1.1122872822031068E-6,28000.0,53.7,7.400000000000007,53.7,7.400000000000007,28000.0,657112.0
29000.0,6.78320563,1.153113376851235E-6,29000.0,54.7,9.40000000000001,54.7,9.40000000000001,29000.0,657112.0
30000.0,7.018381051,1.1930921035261804E-6,30000.0,56.2,12.400000000000011,56.2,12.400000000000011,30000.0,657112.0
31000.0,7.253579351,1.233074719524609E-6,31000.0,55.900000000000006,11.800000000000011,55.900000000000006,11.800000000000011,31000.0,657112.0
32000.0,7.485933546,1.2725738509142026E-6,32000.0,54.900000000000006,9.800000000000008,54.900000000000006,9.800000000000008,32000.0,657112.0
33000.0,7.716085995,1.3116986957343605E-6,33000.0,54.2,8.400000000000007,54.2,8.400000000000007,33000.0,657112.0
34000.0,7.948185532,1.3511545364495531E-6,34000.0,57.699999999999996,15.399999999999991,57.699999999999996,15.399999999999991,34000.0,657112.0
35000.0,8.179007945,1.3903932720305915E-6,35000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,35000.0,657112.0
36000.0,8.410438498,1.4297353885803411E-6,36000.0,53.900000000000006,7.800000000000007,53.900000000000006,7.800000000000007,36000.0,657112.0
37000.0,8.643443473,1.469345149540129E-6,37000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,37000.0,657112.0
38000.0,8.884855895,1.5103841373477648E-6,38000.0,53.5,7.000000000000006,53.5,7.000000000000006,38000.0,657112.0
39000.0,9.126473028,1.551457925072337E-6,39000.0,56.599999999999994,13.199999999999989,56.599999999999994,13.199999999999989,39000.0,657112.0
40000.0,9.352495979,1.589880774458003E-6,40000.0,57.8,15.59999999999999,57.8,15.59999999999999,40000.0,657112.0
41000.0,9.604299311,1.6326861685891716E-6,41000.0,55.60000000000001,11.20000000000001,55.60000000000001,11.20000000000001,41000.0,657112.0
42000.0,9.839469882,1.6726640707866969E-6,42000.0,57.599999999999994,15.199999999999992,57.599999999999994,15.199999999999992,42000.0,657112.0
43000.0,10.077232677,1.7130826389957278E-6,43000.0,54.900000000000006,9.800000000000008,54.900000000000006,9.800000000000008,43000.0,657112.0
44000.0,10.308846662,1.7524559381314817E-6,44000.0,52.7,5.400000000000005,52.7,5.400000000000005,44000.0,657112.0
45000.0,10.544535183,1.792521889417612E-6,45000.0,56.99999999999999,13.99999999999999,56.99999999999999,13.99999999999999,45000.0,657112.0
46000.0,10.769802107,1.830816217733077E-6,46000.0,56.10000000000001,12.20000000000001,56.10000000000001,12.20000000000001,46000.0,657112.0
47000.0,11.001738743,1.87024436603668E-6,47000.0,54.800000000000004,9.600000000000009,54.800000000000004,9.600000000000009,47000.0,657112.0
48000.0,11.233618193,1.9096627929865213E-6,48000.0,56.599999999999994,13.199999999999989,56.599999999999994,13.199999999999989,48000.0,657112.0
49000.0,11.467572418,1.949433922026931E-6,49000.0,53.2,6.400000000000006,53.2,6.400000000000006,49000.0,657112.0
50000.0,11.702771931,1.9894167442297125E-6,50000.0,53.6,7.200000000000006,53.6,7.200000000000006,50000.0,657112.0
51000.0,11.935132669,2.028916987898844E-6,51000.0,54.0,8.000000000000007,54.0,8.000000000000007,51000.0,657112.0
52000.0,12.166962354,2.0683269550303736E-6,52000.0,53.7,7.400000000000007,53.7,7.400000000000007,52000.0,657112.0
